(1,1&#x27;-Biphenyl)-2,5-Diol, Diacetate	C16H14O4		68
(1,1&#x27;-Biphenyl)-4,4&#x27;-Dicarbonitrile	C14H8N2		238
(1,1&#x27;-Biphenyl)-4-Ol, 3-Amino-	C12H11NO		198-202
(1,2-Dibromoethyl)benzene	C8H8Br2	133	75
(1,4-Diphenyl)-1,3-Butadiene	C16H14	350	152
(1-Methyl-Piperidin-3-Yl)-Methanol	C7H15NO	142.5	
(1r)-(-)-Fenchone	C10H16O	193	5
(1r)-(-)-Myrtenol	C10H16O	221.5	
(1r,2s)-(-)-Ephedrine	C10H15NO	261	38.1
(1r,4r)-(+)-Camphor	C10H16O	207.4	178.8
(1s)-(-)-Beta-Pinene	C10H16	166	-61
(1s,2s,5s)-(-)-Myrtanol	C10H18O	118	
(2,2-Diethoxy-Ethyl)-Diethyl-Amine	C10H23NO2	194.5	
(2,2-Diethoxy-Ethyl)-Dimethyl-Amine	C8H19NO2	170.5	
(2,4,5-Trichlorophenoxy)acetic Acid Sec-Bu Ester	C12H13Cl3O3		39
(2,5-Dimethylphenyl)acetate	C10H12O2	237	
(2,6,6-Trimethyl-Cyclohex-2-Enyl)-Methanol	C10H18O	215	
(2-Bromo-Phenyl)-Acetonitrile	C8H6BrN		1
(2-Bromoethyl)benzene	C8H9Br	219	-65.7
(2-Isopropyl-5-Methyl-Cyclohexyloxy)-Acetic Acid	C12H22O3		54
(2-Methoxy-Phenyl)-Acetonitrile	C9H9NO		69.8
(2-Methoxyphenyl)phenyldiazene	C13H12N2O	195-197	41
(2-Methyl-1-Propenyl)benzene	C10H12	99	
(2-Naphthyl)bromomethane	C11H9Br		56
(2alpha,2abeta,5alpha,6beta,6abeta)-Hexahydrome*	C8H13NO2	248	108.5
(3-Beta)-Stigmasta-5,22-Dien-3-Ol	C29H48O		170
(3-Bromo-Propenyl)-Benzene	C9H9Br		34
(3-Chloro-Propoxy)-Benzene	C9H11ClO	250	12
(3-Chloropropyl)-Trimethyl Silane	C6H15ClSi	151	
(3-Chloropropyl)triethoxysilane	C9H21ClO3Si	220	
(3-Hydroxymethyl-Cyclohexyl)-Methanol	C8H16O2	105.5	
(3-Methoxy-Phenyl)-Methanol	C8H10O2	252	
(3-Methyl-2-Butenyl)quanidine	C6H13N3		62.5
(3-Nitrophenyl)ethene	C8H7NO2		-10
(3-Phenyl-Oxiranyl)-Methanol	C9H10O2		26.5
(3a,5a)-Androst-16-En-3-Ol	C19H30O		142.75
(4-Amino-Phenyl)-Acetonitrile	C8H8N2	312	46
(4-Benzyl)chlorobenzene	C13H11Cl	299	7.5
(4-Bromobutoxy)benzene	C10H13BrO		41
(4-Chlorophenyl) Propyl Ketone	C10H11ClO		19.5
(4-Methoxy-Phenyl)-Acetaldehyde	C9H10O2	255.5	
(4-Methoxyphenyl)phenyldiazene	C13H12N2O	340	56
(4-Methylphenyl)phenyldiazene	C13H12N2	312	71.5
(4-Nitrophenyl)phenyldiazene	C12H9N3O2		132-134
(4-Pyridyl)-2-Pyridine	C10H8N2	281	61.5
(acetyloxy)acetonitrile	C4H5NO2	200	
(chloromethyl)oxirane	C3H5ClO	117	-26
(dichloromethyl)benzene	C7H6Cl2	205	-17
(dimethyl)-Phenylphosphine	C8H11P	74-75	
(e)-2-Hexenal	C6H10O	146.5	
(nitrilotris(methylene))triphosphonic Acid	C3H12NO9P3	480	90.3
(r)-(+)-Citronellal	C10H18O	207	
(r)-(-)-Carvone	C10H14O	228.5	
(s)-(-)-Perrillaldehyde	C10H14O	104.5	
(tetrachloromethyl)methane	C5H8Cl4		97
(trimethylsilyl)methanol	C4H12OSi	122	
